address,ibc/1DC495FCEFDA068A3820F903EDBD78B942FBD204D7E93D3BA2B432E9669D1A59,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,ibc/655BCEF3CDEBE32863FF281DBBE3B06160339E9897DC9C9C9821932A5F8BA6F8,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,ibc/E97634A40119F1898989C2A23224ED83FDD0A57EA46B3A094E287288D1672B44,ibc/FE2CD1E6828EC0FAB8AF39BAC45BC25B965BA67CCBC50C13A14BD610B0D1E2C4,uosmo
osmo12rp0rj5nw20xu6ullcjvsvuemmp53e7njzhn3m,4818590,3672112,51212,158999845,14785069,132274793,3725373
osmo1pue60d2zdv2qzaurgeg66n0qpjx4ep8te2cn82,2409295,1836056,25606,79499922,7392534,66137397,1862686
osmo1wf7sx6gwptrgex3jg2fpljzs298z4gxp63pjvl,1606196,1224037,17070,52999948,4928356,44091598,1241791
osmo139xdnvgnreq95t3ey98kym482ng6lf76z9q7js,1204647,918028,12803,39749961,3696267,33068698,931343
osmo1x49y93tcvuqhfjjs9238styutnjtqyj8ete7at,963718,734422,10242,31799969,2957013,26454958,745074
osmo1ke7kxdn29w2lrxt9dzusa6shvmwd8xm9rwuf2u,803098,612018,8535,26499974,2464178,22045799,620895
osmo13nzzsqenw5r98x7lpwxy2f5l5mq2gncgetfwpl,688370,524587,7316,22714263,2112152,18896399,532196
osmo1wqvfvc7emqkwtkegkn7ugxaqhrfh3z7nzt02jv,602323,459014,6401,19874980,1848133,16534349,465671
osmo1y4mxd9rankzysaugn52ac7afljr22myexqtmk6,535398,408012,5690,17666649,1642785,14697199,413930
osmo1agva8qecaarrfvvccgyt7ad5j0q02mdnljcpfk,481859,367211,5121,15899984,1478506,13227479,372537
